,соотношение матрица-наполнитель,"плотность, кг/м3","модуль упругости, гпа","количество отвердителя, м.%","содержание эпоксидных групп,%_2","температура вспышки, с_2","поверхностная плотность, г/м2","модуль упругости при растяжении, гпа","прочность при растяжении, мпа","потребление смолы, г/м2","угол нашивки, град",шаг нашивки,плотность нашивки
32,0.3936610082717604,0.33005562524381116,0.3196748087631586,0.13686728929728154,0.6318371442546806,0.7052192052370816,0.35298898076934454,0.547852577805962,0.2624671560682176,0.5383609088246141,1.0,0.7274575886339234,0.3287669403990571
33,0.954864325869671,0.5114439439657588,0.9529993522037793,0.6543349668953855,0.7316509863034912,0.5185551912202957,0.534009246919048,0.42791185515628083,0.05584076039538255,0.704940066764769,1.0,0.7274575886339234,0.500823157109511
34,0.3979199481836764,0.7982688558029913,0.563482277376093,0.5022098766803083,0.5876105362324866,0.43984126042728633,0.2144436678164424,0.37353775756293217,0.6108815671799487,0.42041215028582113,1.0,0.7274575886339234,0.5524400221226472
35,0.4448113978471744,0.7807629974174617,0.9348071382362803,0.6529682682535678,0.5244822535666456,0.8640737037891522,0.6091712825748204,0.6882625486467848,0.5368351929661518,0.33929735566924546,1.0,0.7274575886339234,0.7244962388331012
36,0.5217406153695703,0.48774184136042287,0.27447468268011566,0.15893269447225855,0.5878807750531234,0.6630112422755188,0.49292287886579106,0.6011826812014824,0.6552718724444618,0.8374906484561782,0.0,0.5709135822252762,0.6264579845359352
37,0.44411736555296477,0.5613536442253722,0.316531543332528,0.27129363270971313,0.18328505107595272,0.21304140029460306,0.02092787761891239,0.24813979269934716,0.39781136567532704,0.850099629236722,0.0,0.4847210723481464,0.8728654648243249
38,0.13555110119888356,0.4811858279074359,0.544208441753067,0.4490820888611609,0.2919348275954776,0.22466022851750678,0.6741410814717359,0.49807508730911376,0.44494638768205463,0.09263726934438757,0.0,0.5468337082251702,0.17696131570171703
39,0.4965523550583285,0.7024744649733261,0.22973046684765752,0.29815285484285886,0.052469296282658506,0.26087731413274606,0.4344702217204817,0.26861672037440965,0.4151134760205226,0.810483709718246,0.0,0.6051991400452147,0.3123429293423591
40,0.7905328909561613,0.34182777152303245,0.4975936106880556,0.732805778841455,0.6470747800230519,0.46259005047032664,0.20097460151293703,0.6558327256260181,0.1597157583558696,0.6248461423918067,0.0,0.5563126989595957,0.09771305231686189
41,0.37573446786812825,0.4743500198538593,0.6995548922482001,0.7777826928035498,0.19635630058238873,0.6605419153372887,0.4983399529656371,0.36250188922123705,0.8845717011748818,0.8150469273766481,0.0,0.7495787942372091,0.19515289651343637
